gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NDUFAF1,82.79994,-0.31993956982530103,0.19950802118911154,-2.388887825466909,0.016899461338426968,0.15785977979144616
NDUFAF2,85.829,0.061747106939064794,0.21287078114506125,0.7303515811538274,0.4651753065071693,0.7771884909229864
NDUFAF3,85.295166,0.646033891088818,0.301087275362579,3.0403131008013395,0.002363323215980833,0.04826001871228164
NDUFAF4,47.5094,0.039364393015795175,0.19765434337150303,0.44922105750218544,0.6532721985134786,0.8747845190749272
NDUFAF5,25.160967,0.04400515006110352,0.2331571699834253,0.58761539730432,0.5567904737344551,0.8289209699432429
NDUFAF6,28.33616,0.05808503975426163,0.23146960805988268,0.7297572924989516,0.4655385538736032,0.7771884909229864
NDUFAF7,34.640167,-0.03663238107047169,0.21657967004386056,-0.46562712506515097,0.6414824236464352,0.8697415114612124
NDUFAF8,145.63591,0.015631716420813194,0.1693114388980455,0.1717795100455501,0.8636108746759374,0.9589984956703359
NDUFB1,266.35617,0.16030810510821333,0.1812017559231697,1.5055915303653742,0.13217206404617643,0.46141841723889043
NDUFB10,251.24454,0.048115613464994544,0.14924709494045227,0.5215877704708765,0.6019573800392956,0.851047640923409
NDUFB11,420.83865,0.38723625348433993,0.21401247935119738,2.626092589088855,0.00863713196194578,0.10693751467876468
NDUFB2,392.75946,0.09252865527307866,0.15698272495124413,0.9421300019373016,0.3461260858360886,0.6954007287858224
NDUFB3,180.96338,0.24255318068807658,0.21597990446580495,1.96642472374209,0.049249569836826594,0.28330073174240883
NDUFB4,349.2317,0.21089012366311616,0.14022734851375945,2.0339638276108776,0.041955242666162636,0.26006680710972024
NDUFB5,119.01018,0.31442823384779506,0.20418484450195884,2.3379918531219532,0.01938767076948258,0.17258178103270808
NDUFB6,107.97447,0.11080125240705094,0.13729939273420497,1.1687220001874077,0.24251565514076368,0.6044636525081637
NDUFB7,277.54678,0.23973549258302862,0.229048119627997,1.9438152106239441,0.05191773884351976,0.2903041324049794
NDUFB8,396.06265,0.253663660673408,0.17994219623080543,2.110661551484513,0.03480141300276464,0.23500551830419783
NDUFB9,332.8985,0.25080759390243673,0.12774398843212417,2.463880974496209,0.013744174439141051,0.13953354069629442
NDUFC1,212.88942,0.20041603518848783,0.17271240985189376,1.7998691745278395,0.07188129804171807,0.3446989803788563
NDUFC2,223.6693,0.5541074791041282,0.2599765025241815,2.9862895368907507,0.0028238514001859903,0.054316077024649564
NDUFS1,93.27325,-0.14426950408889636,0.4549640008801906,1.9062780362358285,0.05661414230369318,0.3025818001090042
NDUFS2,153.75514,0.15823979551609552,0.10554680620196619,1.83883334910399,0.06593970149668331,0.3275267464317358
NDUFS3,9.965919,0.025584138615853937,0.26393273163109576,0.45883817680732497,0.646350377323532,0.8720631105039145
NDUFS4,97.1049,0.10151667540999827,0.14821541572108984,1.0543396189213097,0.29172745598967886,0.6458970014954464
NDUFS5,517.27716,0.20566518106766207,0.1734634705388372,1.825772524791189,0.06788453353015851,0.3319579210126078
NDUFS6,209.20474,0.3364448023626281,0.18517081195657903,2.5376449174670364,0.011160115234760381,0.12328104045968485
NDUFS7,150.84166,0.13007299705118586,0.1108323837916122,1.4899582517385601,0.13623521343163408,0.4689187710185644
