,ensembl_gene_id,external_gene_name
248,ENSG00000271365,
249,ENSG00000259029,DUX4L18
250,ENSG00000226223,TSPY16P
251,ENSG00000235895,
252,ENSG00000286201,
253,ENSG00000223744,RBMY2GP
254,ENSG00000215537,ZNF736P11Y
255,ENSG00000230476,OFD1P9Y
256,ENSG00000225840,
257,ENSG00000229745,BPY2DP
258,ENSG00000227204,RBMY2JP
259,ENSG00000275828,CHEK2P1
260,ENSG00000232617,
261,ENSG00000225615,RBMY2UP
262,ENSG00000230663,FAM224B
263,ENSG00000232522,ZNF886P
264,ENSG00000234131,ELOCP8
265,ENSG00000277519,OFD1P16Y
266,ENSG00000259247,TTTY25P
267,ENSG00000224336,FAM197Y1
268,ENSG00000273731,
269,ENSG00000236951,
270,ENSG00000215583,ASS1P6
271,ENSG00000274162,SNX18P1Y
272,ENSG00000229208,RBMY2NP
273,ENSG00000129845,TTTY1
274,ENSG00000227444,
275,ENSG00000233774,MED14P1
276,ENSG00000232475,HSFY5P
277,ENSG00000228764,ZNF885P
278,ENSG00000232226,ARSFP1
279,ENSG00000224567,
280,ENSG00000241200,ZNF736P7Y
281,ENSG00000228518,SURF6P1
282,ENSG00000227447,XGY1
283,ENSG00000274231,
284,ENSG00000286050,
285,ENSG00000274502,ANKRD20A6P
286,ENSG00000235094,
287,ENSG00000278854,
288,ENSG00000183385,TTTY8
289,ENSG00000225809,RBMY2KP
290,ENSG00000237902,TSPY21P
291,ENSG00000232419,TTTY19
292,ENSG00000232620,TSPY17P
293,ENSG00000226906,TTTY4
294,ENSG00000230025,
295,ENSG00000236786,TSPY15P
296,ENSG00000224075,TTTY22
297,ENSG00000238235,TSPY11P
298,ENSG00000274445,
299,ENSG00000235649,MXRA5Y
300,ENSG00000258567,DUX4L16
301,ENSG00000236424,TSPY10
302,ENSG00000282467,
303,ENSG00000234179,MTCYBP1
304,ENSG00000271309,
305,ENSG00000229553,USP9YP17
306,ENSG00000228240,TTTY17A
307,ENSG00000234652,AGPAT5P1
308,ENSG00000218410,
309,ENSG00000243643,TSPY20P
310,ENSG00000224989,FAM41AY1
311,ENSG00000131548,TTTY6B
312,ENSG00000232029,ELOCP15
313,ENSG00000273858,
314,ENSG00000227830,TRIM60P3Y
315,ENSG00000226529,MTND1P1
316,ENSG00000229643,LINC00280
317,ENSG00000274837,
318,ENSG00000216777,PRRC2CP1
319,ENSG00000216824,ZNF736P10Y
320,ENSG00000275352,
321,ENSG00000276829,
322,ENSG00000258992,TSPY1
323,ENSG00000228850,CDY12P
324,ENSG00000283076,
325,ENSG00000234850,MTND2P3
326,ENSG00000224873,CDY13P
327,ENSG00000229234,RBMY1KP
328,ENSG00000270570,
329,ENSG00000237563,TTTY21B
330,ENSG00000223517,
331,ENSG00000228207,
332,ENSG00000224917,
333,ENSG00000286187,
334,ENSG00000225117,ARSDP1
335,ENSG00000215560,TTTY5
336,ENSG00000228411,CDY4P
337,ENSG00000235059,
338,ENSG00000244395,RBMY1D
339,ENSG00000284255,OR4C12
340,ENSG00000284278,OR4C48P
341,ENSG00000292249,OR4C45
342,ENSG00000284123,OR4C49P
343,ENSG00000230727,RBMY2WP
344,ENSG00000230814,USP9YP24
345,ENSG00000229725,
346,ENSG00000229236,TTTY10
347,ENSG00000229518,UBE2V1P3
348,ENSG00000232730,FAM8A4P
349,ENSG00000229308,
350,ENSG00000244000,
351,ENSG00000232764,TRIM60P8Y
352,ENSG00000236131,MED13P1
353,ENSG00000270073,TSPY6P
354,ENSG00000227949,CYCSP46
355,ENSG00000252900,RNU6-303P
356,ENSG00000251766,RNA5SP518
357,ENSG00000252689,
358,ENSG00000243980,RN7SL702P
359,ENSG00000252315,RNA5SP520
360,ENSG00000252012,RNA5SP521
361,ENSG00000273966,
362,ENSG00000252173,RNU6-109P
363,ENSG00000251705,RNA5-8SP6
364,ENSG00000252289,RNA5SP519
365,ENSG00000252323,RNU6-184P
366,ENSG00000169953,HSFY2
367,ENSG00000236429,GPM6BP2
368,ENSG00000249501,USP9YP2
369,ENSG00000228193,ELOCP14
370,ENSG00000248573,PRYP6
371,ENSG00000230904,XKRYP2
372,ENSG00000238135,USP9YP10
373,ENSG00000224151,USP9YP28
374,ENSG00000251970,RNU1-41P
375,ENSG00000238088,OFD1P7Y
